id,type,text1,text2,text3,notes,Column 07
SGB_FerricOxide,WEAPON,"It is almost a miniaturized ion beam, and although the large exposed structure makes it not very attractive, and the performance of an individual unit unremarkable, this most primitive load-reducing method can mostly avoid the risk of overheat and melt down caused by miniaturizing a beam node. ",,,,
SGB_Temperom,WEAPON,"A black box weapon with unknown principles, but can be produced; The particle beam it emits is destructive to most existing armor layers, and its massive energy particles will destroy the stability of the armor molecule structure, followed by disintegration and meltdown.",1071.294659596,,,
SGB_Curlor,WEAPON,"A sabot launcher specifically designed for fighters, invented by a company that closed down several decades ago due to losing a commercial lawsuit, various data used in its miniaturization has been lost. Nevertheless, arrays of this weapon is still being used by the Shackles Garrison.",,,,
SGB_Barb,WEAPON,"A type of small artillery, equipped with a self reactive warhead, since then, it still can exhibit a relatively stable trajectory and considerable lethality at this size.",,,,
SGB_Screws,WEAPON,"A more effective rigid warhead small light machine gun, with screws that are basically similar to light machine guns circulating on the market, but the latter's weapon AI system prioritizes point defense, unlike the former - screws focus on their actual job, which is to prioritize anti shield strikes.",,,,
SGB_ScrewsTwi,WEAPON,"A more effective rigid warhead small double barreled light machine gun, with twin screws that are basically similar to the light double barreled machine guns circulating on the market, but the latter's weapon AI system prioritizes point defense, unlike the former - twin screws focus on its actual job, which is to perform anti shield strike tasks first.",,,,
SGB_AirGrenade,WEAPON,"A well-designed joint air laser silo system, due to the loss of corresponding ammunition production blueprints in the chain defense, can only carry the most common Stinger Class air mine on the market after certain processing; In practical terms, throwing many air mines on a single plane to blow up enemy carrier based aircraft will never go out of style.",,,,
SGB_SGL,WEAPON,"A small railgun used to shoot high explosive grenades at a high speed. Because of the size, it is mainly mounted on carrier based aircraft.",,,,
SGB_HighSpeed_flarelauncher,SHIP_SYSTEM,A system which can release a large amount of wide-range flares with excellent tracking. It will take about five seconds to complete a reload.,,,,
SGB_Fighter_damper,SHIP_SYSTEM,"By utilizing strong spatial resonance to block nearby particles, the damage recieved by this ship's strike crafts can be reduced by about 30% for a very short period of time, but those crafts cannot fire during this period.",,,,
SGB_Decoy,WEAPON,"A system which can release a large amount of wide-range flares with excellent tracking, will pursue enemy target within range to intercept, can effectively deal with squadrons going after lone ships at range.",,,,
SGB_Coahuilite,WEAPON,"The Coahuilite array can quickly fire a large amount of sub-caliber fragmentation grenades, allowing this weapon to create a barrage without pressuring the flxu system. Given regular accidents during rapid fire, the weapon was modified from its initial twin-linked module to its now quad-linked form - but this did not fix the terrible accuracy problem.

No personnel should be permitted in the turret except for maintenance and reapir, to prevent casualty caused by violent change in air pressure. 
",,,,
SGB_Acidslay,WEAPON,"Acidslay plasam launcher is a weapon with decent post-penetration effect. While it is normally not a great threat, if it is allowed to pierce a target's armor and react within the target's hull, it could lead to serious damage. ",,,,
#船只简介,,,,,,
SGB_Anoyas,SHIP,"The Anoyas-class was originally a small modular transport ship, bearing some resemblance to the Bison. Shackles Garrison made adjustments to the original combat vessel and transformed it into an extremely efficient transport ship, modified for cargo transport. Its ample armament makes it less susceptible to pirate attention. However, regardless - the Anoyas-class remains merely a civilian-grade vessel, with its heavy weapon load significantly impairing its mobility. It requires a brief overload of the power system to respond adequately. When the missiles are depleted, the end is near for the Anoyas-class.",,,,
SGB_Anoyas_Tanker,SHIP,"The Anoyas-class was originally a small modular transport ship, bearing some resemblance to the Bison. Shackles Garrison made adjustments to the original combat vessel and transformed it into an extremely efficient transport ship, modified for fuel transportation. Its ample armament makes it less susceptible to pirate attention. However, regardless - the Anoyas-class remains merely a civilian-grade vessel, with its heavy weapon load significantly impairing its mobility. It requires a brief overload of the power system to respond adequately. When the missiles are depleted, the end is near for the Anoyas-class.",,,,
SGB_Buffalo,SHIP,"An variant of the buffalo freighter. With some militarization, the ship's cargo holder is modified into hangers to unload its cargo on any target daring to ambush the convoy - the cargo often being strike craft based munitions.
Currently, the Persean sector is not only filled with risks and violence, but the majority of conflicts often erupt instantly due to a mere speck of resources or slight disdain. Since military-grade ships cannot always arrive at the scene in time, some clever engineers have turned to modifying originally non-threatening civilian hulls to meet these needs.

Although it was improved from the Buffalo-class hull frame, its modification range is quite bizarre, hence this ship is also recognized as a vessel of no use. Relying on the space carved out from transport effectiveness for carrier-based aircraft, it fails to perform well in transportation tasks, yet can only play a minimal role in combat.",,,,
SGB_SoftMelting,SHIP,"As a reinforced version of the Phaeton-class, the Softmelt-class possesses superior protective capabilities that its predecessor lacked. These additional armors have occupied much of the space originally designed for old turrets and broadside tubes, but they also equipped it with an automatic loading missile system. For safety reasons, the storage for flammable and explosive materials - heat decoys, was replaced with more stable engine facilities, enabling the Softmelt-class to possess strategic relocation capabilities in perilous battlefields.

That said, at the end of the day adding all that armor really isn't a reasonable modification. This modification has somewhat reduced the already limited cargo hold capacity of this ship, as well as its poor broadside performance.",,,,
SGB_Mould,SHIP,"The Mould-class is a well-known variant of the heavy freighter, equipped with numerous missile launchers and an integrated drilling shockwave for mining operations. Its built-in Lupus missile magazine is directly connected to the internal nanoforge, allowing the Mould-class to provide support from a distance when transport fleets are attacked.",,,,
SGB_Ceaies,SHIP,"The Mould-class is a well-known variant of the heavy freighter, equipped with numerous missile launchers and an integrated drilling shockwave for mining operations. Its built-in Lupus missile magazine is directly connected to the internal nanoforge, allowing the Mould-class to provide support from a distance when transport fleets are attacked.",,,,
SGB_Duplin,SHIP,"To address the growing issue of piracy in the outlying star systems, the 27th Battle Group has approved an armament reform for the Duplin-class. The resulting design, the Ceaies-class corvette, has been mass-produced. Compared to its predecessor, it features significant changes, including a well-isolated engine, a more industrial appearance, modular design for easy maintenance, and numerous weapon slots that have successfully endowed it with a degree of excellent escort capabilities.",,,,
SGB_Redmond,SHIP,"The Duplin-class underwent extensive modifications from the Kite-class, as streamlined designs are not as significant in a zero-gravity environment. The designers of the Chain Guard Corps made sweeping changes to the interior space of the Kite-class, adding two gun emplacements and incorporating a pair of machine guns for counterattacks against enemies. However, the top-mounted turret was ultimately removed to allocate space occupied by the new weaponry within the ship.",,,,
SGB_Felix,SHIP,"The spatial planning within the Felix-class is quite intriguing, and it comes equipped with a pair of missile modules - when paired with ships that can apply pressure to enemy shields, the Felix-class always finds the opportunity to unleash a barrage of fire.",,,,
SGB_Wiesios,SHIP,"Thanks to the entire ship being designed around its extremely volatile engine, the Wiesios-class boasts superior speed among escort ships. Additionally, its weapon system utilizes a control module similar to that of the Hammerhead-class, enabling the Wiesios-class to harass the enemy with burst fire when facing certain firepower, and assist friendly capital ships. A group of Wiesios-class ships can occasionally also directly take out isolated enemy vessels.",,,,
SGB_Sumner,SHIP,"The Sumner-class boasts a plethora of slots and excellent armor among frigates. It excels at harassing the enemy with powerful missile projectile fire; however, some captains prefer to pilot it directly into the face of the enemy, utilizing its efficient burst capability to instantly destroy opponents.",,,,
SGB_Posmous,SHIP,"The Posmous-class is equipped with a pair of railguns at the front of the ship. This is also the main reason it was ultimately classified as a light destroyer - length. Thanks to the unique engine design of the Posmous-class, it has good maneuverability in combat, and its specially tuned shields can react more quickly. Generally, this type of ship is mainly used for support and torpedo strikes, but due to its simple deployment characteristics, it is quite versatile in practical application.
",,,,
SGB_Posmous_2,SHIP,"This Posmous was rebuilt early on by the Shackles Garrison. The ship's slots are modified to accomodate a new system and armor upgrades. Now it is like a dagger - hard to keep track in a fight - and will swiftly find its way into any gap in the enemy's defense.

The Posmous-class is equipped with a pair of railguns at the front of the ship. This is also the main reason it was ultimately classified as a light destroyer - length. Thanks to the unique engine design of the Posmous-class, it has good maneuverability in combat, and its specially tuned shields can react more quickly. Generally, this type of ship is mainly used for support and torpedo strikes, but due to its simple deployment characteristics, it is quite versatile in practical application.
",,,,
SGB_Hammies,SHIP,"The Hammies-class has inherited the advantages of its predecessor, the Hammerhead-class,  the Bridge located at the front of the ship has been moved to the rear, providing a better field of view and allowing for a new weapon mount point at the front. Unique isolated engine reduced the risk of enging going offline from enemy fighter activities. Although this has somewhat reduced maneuverability, the experimental burst mobility system gave the Hammies class close range brawling ability its predecessor cannot hope to match. These ships are often lead into combat by the Fleamut class.",,,,
SGB_Fleamut,SHIP,"The Flemut class is a more strike-oriented modification of the Sunder, with extreme modifcation without regard to cost. Although most of the ship's internal structure have been taken up to install its unique mobility system and some weapon slots are lost, these changes does not change the ship's excellent burst damage capabilities. Several Flemut can isolate and shread and enemy like a pack of hyenas before leaving them a mangled wreck following an explosion.

Though the Flemut designw as finalized long ago, few anticipated the ship to turn out the way it did. The Sunder was only selected as the ship's basis as a chat within the design bureau, and the ship system is just a beneifical system error arising out of the Hammies system upgrade. In the end, the Shackle's engineers did everything they could to reproduce and stabilize that system error, resulting in this terrifying design. ",,,,
SGB_Fleamut_2,SHIP,"This Fleumut is an extremely rare original prototype, adjusted only to the extent required to use modern weapons. Compared to most modern Flemut, this one still follows its original armor plan - Using sturdier and valuable armor modules that does not compromise mobility and flux dissipation at all. Given the sudden burst movement provided by the ship's system, it can serve as the spear of the fleet - positioned amongst the fleet and going for the target's throat the moment an opening presents itself. 

The Flemut class is a more strike-oriented modification of the Sunder, with extreme modifcation without regard to cost. Although most of the ship's internal structure have been taken up to install its unique mobility system and some weapon slots are lost, these changes does not change the ship's excellent burst damage capabilities. Several Flemut can isolate and shread and enemy like a pack of hyenas before leaving them a mangled wreck following an explosion.

Though the Flemut designw as finalized long ago, few anticipated the ship to turn out the way it did. The Sunder was only selected as the ship's basis as a chat within the design bureau, and the ship system is just a beneifical system error arising out of the Hammies system upgrade. In the end, the Shackle's engineers did everything they could to reproduce and stabilize that system error, resulting in this terrifying design. 。",,,,
SGB_Cindotch,SHIP,"Cindotch is basically a word made up by the word Cinder North, meaning an opening where cinders are expelled. While the name is far from flattering, the Cindotch can steadily apply pressure on enemy ships while providing escort.

Often known as ""pretty good assualt meat ball"" amongst veteran mercs.

Definately not a space tank with afterburners.",,,,
SGB_HexagonalScreen,SHIP,"The Hexegonal Screen is an obselete auxilary ship that has been removed from the Shackles fleet, replaced by the cheaper Anoyas freighter - Thats the official statement anyway, but these demilitarized metal boxes still remain active as civilian ships.

The Hexegonal Screen has a stable ship system, apprently as a result of a system loop hole that cause the ship system to react extremely to various problems. After various adjustment, this allows the Hexegonal Screen to keep its resource consumption at a minimal in combat, letting it operate for longer. Even though its armament makes extended combat operation a very undesirable proposition for most. 
",,,,
SGB_HexagonalScreen_C,SHIP,"This Hexgonal Screen is modified to dig out a flight deck without compromising stortage. The Hexegonal Screen is an obselete auxilary ship that has been removed from the Shackles fleet, replaced by the cheaper Anoyas freighter - Thats the official statement anyway, but these demilitarized metal boxes still remain active as civilian ships.

The Hexegonal Screen has a stable ship system, apprently as a result of a system loop hole that cause the ship system to react extremely to various problems. After various adjustment, this allows the Hexegonal Screen to keep its resource consumption at a minimal in combat, letting it operate for longer. Even though its armament makes extended combat operation a very undesirable proposition for most. 
",,,,
SGB_Jolt,SHIP,"A ship known to be small and vicious, though once you learn its actual classification you will realize its size is far from standard for its size. The greatest feature of the Jolt is its extra internal deck. These backup force can be quickly deployed, and the hidden slot under the large hardpoint can also be a powerful surprise.

As one of the most common ships of the 27th battlegroup, the Jolt was initially bidded as a cruiser design, but lost given its lack of firepower density. In the end, its designer inexplicably downgraded the ship's spec for the ship - revamping its operating system with a destroyer's spec, and finally won an order through this absurd method. Worth noting that both the Jolt and Carving class are  designed by the same firm.

Lost to the Ascaedy in its original cruiser bid. ",,,,
SGB_Jolt_2,SHIP,"This Jolt is an extremely rare original prototype, adjusted only to the extent required to use modern weapons. Compared to most current models, this ship has a stronger flux system with a more stable thruster. A ship known to be small and vicious, though once you learn its actual classification you will realize its size is far from standard for its size. The greatest feature of the Jolt is its extra internal deck. These backup force can be quickly deployed, and the hidden slot under the large hardpoint can also be a powerful surprise.

As one of the most common ships of the 27th battlegroup, the Jolt was initially bidded as a cruiser design, but lost given its lack of firepower density. In the end, its designer inexplicably downgraded the ship's spec for the ship - revamping its operating system with a destroyer's spec, and finally won an order through this absurd method. Worth noting that both the Jolt and Carving class are  designed by the same firm.

Lost to the Ascaedy in its original cruiser bid. ",,,,
SGB_Bastard,SHIP,"A fast fighter with a robust flux grid, many of its design specs are borrowed from the infamous gladius - but greatly improved the flux system to keep the fighter's weapon in operation.

It is made to completely take over Gladius' market share. ",,,,
# Old ---,,,,,,
SGB_Ogent,SHIP,"Ogent-Class's most distinctive feature is its unique built-in missile. This high-strength armor-piercing steel needle will pose a threat to the enemy no matter what - hitting the shield or directly damaging the structure. The ship itself has good cruising speed, and it always has a good effect when pursuing and killing enemy ships. In most cases, it will work with wolves to quickly tear apart enemy's large ships.",,,,
SGB_Davington,SHIP,"The Davington-Class possesses fierce missile projection capabilities. An experienced captain will drive this ship to fiercely pursue and annihilate enemy ships, but will choose the right timing, as the Davington-Class does not have an excellent point defense system. Its built-in Typhoon-Class Reaper Torpedo is a major weapon for securing victory.",,,,
SGB_Whip,SHIP,"The Whip Class have unique built in missile launcher that makes it apt in providing support in the mid to backline in a battle - or carry a sufficiently large payload of finisher and strike torpedo and wade into the fray, where they advance through the enemy wrecks torn apart by Reaper torpedos; In most situation, the Whip class can handle large amount of enemy missile and fighter squadrons, creating the ideal situation for other ships to carry out their attacks. 
",,,,
SGB_Aligate,SHIP,"The Aligate-Class and the Alicuty-Class are very similar, but different from the latter. This ship leans more towards an aircraft carrier role, with its deck and maintenance facilities easily supporting the needs of two squadrons of fighter jets.",,,,
SGB_Alicuty,SHIP,"The Alicuty-Class and the Aligate-Class are very similar, yet distinct from the latter. This ship is more inclined towards a destroyer position, with its compressed deck space only able to support the deployment of one squadron of fighter jets. However, the additional gun turrets and the freed-up internal space allow it to perform more diversely in battle.",,,,
SGB_Achilles,SHIP,"Thanks to its built in loading mechanism, the Achilles class can steadily unleash its might over enemy ships whether you use it like a hammer or a crossbow. The built in Lupus missiles can also turn the tide in a pinch; While not aesthetically pleasing, aggressive captains often requests to pilot this ship to hammer the enemy the face. 
",,,,
SGB_Snapdragon,SHIP,"The front half of the Firetong was once a flight deck, now modified into more turret space - this act further restricted interior space of the ship, making it harder to receive personal modification throguh the installation of hullmods. In theory, this ship have vicious firepower that can match a Eagle Class, and a ludicrous amount of mixed slots can support various absurd loadout designed by various captains to cause the most hassle for its enemies.

The Firetong was not a original design by the Shackles Garrison, but rather a common escort ship within the Persean League escort fleet during Shackle's retreat from the core sector -  many of these ship sent to support the Shackles Garrison was eventually gifted it to carry out basic escort mission to the declining Shackles Garrison. As a result, this ship who played such an important role during a historical time made a lasting impression on the Shackles Garrision. With many support, the design was purchased, modified, and eventually reverse-engineered - a fact that the Persean League had not taken issue with. After that, the Firetong class begin to make a name for itself in the Shackles Fleet, and had caused more than one bounty hunter to curse their latest job from Tri-Tachyon or Hegemony. 

However, modification to this ship's design have also caused many maintenance crew to curse the fire control rooms that were once flight decks - after all, to limit the impact on the ship's design, many internal structure meant for a carrier to service fighters were preserved, but intermingled with cabling and sensors of the fire control system. This has truly pissed off almost all logistic personal who had been allocated to service the Firetong Class, who jokingly refer to themselves as Tong Soot - worthless, all over the place, ultimately soot black and replacable. ",,,,
SGB_Falcon,SHIP,"It is evident that this design is based on a Falcon-Class light cruiser. This Falcon-Class received a system reconstruction and modification from Shackles Garrison, which somewhat compromised the ship's theoretical top speed and energy limit. However, thanks to the specialized engines from Shackles Garrison, the ship's full-speed maneuverability before an engagement slightly outperforms the older models. Yet, once engaged with the enemy, it struggles to disengage quickly.",,,,
SGB_Falcon_2,SHIP,"It is evident that this design is based on a Falcon-Class light cruiser. This particular Falcon-Class underwent system reconstruction and modification from Shackles Garrison in its early stages. Subsequent restorative construction also brought back the ship's fundamental performance metrics. Additionally, it was equipped with defensive missiles - Whip. Thanks to the specialized engines from Shackles Garrison, the ship's full-speed maneuverability before an engagement significantly surpasses that of the older models from the 27th.",,,,
SGB_Eagle,SHIP,"It is evident that this design is based on a Eagle-Class cruiser. This Eagle-Class has undergone a system overhaul from Shackles Garrison, which to some extent diminishes the ship's theoretical top speed and energy capacity limits. However, thanks to the specialized engines from Shackles Garrison, the ship's full-speed maneuverability before engaging in battle slightly outperforms the older models. Yet, once it gets entangled with the enemy, it struggles to disengage quickly.",,,,
SGB_Eagle_2,SHIP,"It is evident that this design is based on a Eagle-Class cruiser. This Eagle-Class vessel underwent a systemic rebuild by Shackles Garrison in its early stages, and subsequent restorative constructions have restored the ship's fundamental performance metrics. The ship has also been equipped with additional small defensive missiles. Thanks to the specialized engines from Shackles Garrison, the ship's full-speed maneuverability in pre-combat situations is superior to the older models of the 27th.",,,,
SGB_Carving,SHIP,"Were it not fitted with cruiser-level hullmod ports, there is no way the Carving Class would be called a Cruiser. The ship's built-in PD array has staaggering recoil, but it also can make a large volume its facing into a no-fly zone with terrifying efficiency. Any cluster of small missile or poorly armored strike craft squadron will drown in an ocean of frags in an instant. 

After the ship has formally entered service, many captain realized that the system of the Carving class is not that complicated - at least not as hard to modified as those of the capital ships. Accordingly, modifying the ship's safety system became a hobby of many radical crews. This lead to the admiralty issuing a correspondingly strict laws - given the effect these practice has on ship life, not to mention it clearly exposed the actual capability of the ship, something the Shackles Garrison wishes to conceal. ",,,,
SGB_Carving_SD,SHIP,"This Carving's paintjob and circumstance of its apperance makes it clear as to its ownership - or is that so? After some data searching, it is easy to discover this ship has been spared the attention of a certain leader, in fact, many of its system has the same operating backdoor as regular versions of the ship.

Not to mention that compared to existing modification of Sindarian Diktat, this is almost a 'wise modification' - This alone makes it clear it must not be the product of Sindarian shipyards. Many rumor suggest that it is linked to some unknown cooperation between the Shackles Garrison and the Diktat.

Were it not fitted with cruiser-level hullmod ports, there is no way the Carving Class would be called a Cruiser. The ship's built-in PD array has staaggering recoil, but it also can make a large volume its facing into a no-fly zone with terrifying efficiency. Any cluster of small missile or poorly armored strike craft squadron will drown in an ocean of frags in an instant. 

After the ship has formally entered service, many captain realized that the system of the Carving class is not that complicated - at least not as hard to modified as those of the capital ships. Accordingly, modifying the ship's safety system became a hobby of many radical crews. This lead to the admiralty issuing a correspondingly strict laws - given the effect these practice has on ship life, not to mention it clearly exposed the actual capability of the ship, something the Shackles Garrison wishes to conceal. ",,,,
SGB_Ascaedy,SHIP,"The Ascaedy-Class boasts a concentrated and dense weapon configuration, while also sparing space for strikecrafts. The built-in gun turret spiral system endows it with exceptionally superior reaction capabilities. As a type of aviation cruiser, the role of the Ascaedy-Class on the battlefield is straightforward - charge to the front line, then attempt to tear open a gap in the enemy's formation with its intense firepower.",,,,
#SGB_Anvil,SHIP,铸砧-级具备优异的导弹投射能力，其火力配置极为凶残 - 搭载了大量高速装填导弹系统，并具备相当罕见的淬火部署系统；设计上，铸砧-级往往应该位于前线附近提供支援，但几乎所有舰长都更乐意冲上去使用其搭载的凶残炮火快速解决问题。得益于其具备的大量高速装填导弹模块，铸砧-级即使在面对小船集群时也有着相当快速且主动的应对能力。,,,,
SGB_Anvil,SHIP,"The Anvil-Class, serving as a military logistics transport ship, possesses an unimaginably superior missile deployment capability. It has the rare Quench deployment system together with lots of high speed missile nest. In design, the Anvil-Class often acts as a slow fire support point, temporarily unloading cargo when necessary, and relying on its own armor to forcefully charge into enemy lines with the assistance of other ships. Thanks to its large number of high-speed reload missile modules, small escort wolf packs find it difficult to inflict decisive damage on the Anvil-Class without paying a price.
",,,,
SGB_Stress,SHIP,"Stress-Class further extends the glory of the Eagle family, with its good mobility and diverse assembly methods allowing it to take on many roles on the battlefield - although in most cases it assumes the position of long-range suppression, and immediately changes position in emergencies; Under the tactical doctrine of the 27th, it can break into the center of the battlefield alongside cruiser-Class ships in an encounter, and then establish a solid bridgehead.

The design of the Stress-Class was completed while Shackles Garrison was en route to Perseus, with initial verification and mass production taking place at the capital Aouintes. The existing blueprints were lost following the Hegemony's strike operation against the capital. This ship represents an original model that still possesses its initial theoretical combat capabilities. Often, the Stress-Class is considered robust enough to serve as an upper-tier successor to the Eagle-Class, despite the consequent increase in maintenance costs, which are, however, entirely within acceptable limits compared to other battleships. While the slot allocations of this ship might seem modest, the Stress-Class's decent base amplitude, coupled with its mobility, ensures stable firepower for these slots and pursuit effectiveness under special circumstances.

Its biggest issue, and a frequent complaint from logistics personnel, pertains to the demand for armor maintenance - primarily painting and regular upkeep of protective layers. This necessity arises from its wing engines, fully integrated within the armor on both sides, and the constant heat they generate, almost clinging to the ship's armor layer. Consequently, it has earned the dubious distinction of being nicknamed ""Self-Peeling Armor - Class"" among maintenance crews across the galaxy.

Although it is a Battleship form Shackles Garrison, it is quite novel that there are no build-in missiles.
",,,,
SGB_Stress_2,SHIP,"This Stress-Class is a very rare original variant, modified only to accomodate modern weapons. Compared to most existing Stress Class, this ship have improved performance across the board; excellent mobility and a wide array of counter measures allows it to fulfil many roles in combat - be it support, suppression or destruction. Under the tactical doctrine of the 27th, it can break into the center of the battlefield alongside cruiser-Class ships in an encounter, and then establish a solid bridgehead.

The design of the Stress-Class was completed while Shackles Garrison was en route to Perseus, with initial verification and mass production taking place at the capital Aouintes. The existing blueprints were lost following the Hegemony's strike operation against the capital. This ship represents an original model that still possesses its initial theoretical combat capabilities. Often, the Stress-Class is considered robust enough to serve as an upper-tier successor to the Eagle-Class, despite the consequent increase in maintenance costs, which are, however, entirely within acceptable limits compared to other battleships. While the slot allocations of this ship might seem modest, the Stress-Class's decent base amplitude, coupled with its mobility, ensures stable firepower for these slots and pursuit effectiveness under special circumstances.

Its biggest issue, and a frequent complaint from logistics personnel, pertains to the demand for armor maintenance - primarily painting and regular upkeep of protective layers. This necessity arises from its wing engines, fully integrated within the armor on both sides, and the constant heat they generate, almost clinging to the ship's armor layer. Consequently, it has earned the dubious distinction of being nicknamed ""Self-Peeling Armor - Class"" among maintenance crews across the galaxy.
",,,,
SGB_Ductility,SHIP,"The stock of Ductility-Class ships is quite scarce, with all blueprints in Perseus lost. All existing Ductility-Class vessels are merely relics from ancient times. These unique hubs possess terrifying fighter projection capabilities; their highly complex black box systems can replicate a large number of shipborne aircraft after filling the amplitude energy conduits - and automatically automate these LPCs - projecting them across the entire battlefield.

The existing Ductility-Class has undergone extensive modernization, yet it remains an irreproducible ancient stock.",,,,
SGB_Ductility_2,SHIP,"This Ductility-Class ship is a rare early original model, having only undergone the necessary adjustments to accommodate modern weaponry. Compared to most existing Ductility-Class vessels, this ship boasts superior maneuverability and additional deck areas, enabling it to deploy more swarms of drones to overwhelm all enemies.

The stock of Ductility-Class ships is quite scarce, with all blueprints in Perseus lost. All existing Ductility-Class vessels are merely relics from ancient times. These unique hubs possess terrifying fighter projection capabilities; their highly complex black box systems can replicate a large number of shipborne aircraft after filling the amplitude energy conduits - and automatically automate these LPCs - projecting them across the entire battlefield.

The existing Ductility-Class has undergone extensive modernization, yet it remains an irreproducible ancient stock.",,,,
SGB_Onslaught,SHIP,"A design of historical renown. Thanks to the Onslaught-Class's simple maintenance system, mass production and deployment remained feasible; as Shackles Garrison focused more on the construction of Onslaught doctrines, this variant of the Onslaught-Class sacrificed a lot of armor and internal resistance structures in favor of mobility and numerous missile strike modules. However, thanks to its modified superior engines, the Onslaught-Class could always arrive at the front lines in time, breaking through enemy lines with a barrage and missiles that outnumbered the enemy's by several times.

When the Onslaught-Class was first launched from the orbital shipyard, this colossus, dwarfing surrounding ships, caused the entire star domain to tremble. There were even rumors that they were created in a long-forgotten war to serve as the mainstay against alien species. Later, engineers from the Domain of Man improved its blueprints by not only adding shield systems and upgrading hyperdrive engines but also reducing the number of necessary crew members through automation and iterative engineering. Even with other more advanced capital ship blueprints available, the Onslaught-Class remains one of the easiest capital ships to produce today due to its extremely simple system.

This warship, which did not consider shields in its design, could rely solely on reliable armor to protect the crew to the greatest extent while enduring fierce firepower and organizing effective counterattacks, thus winning the affection of officers and crew members. Despite relying on a large amount of ammunition supply for logistics, its unparalleled frontal firepower allows the Onslaught-Class to destroy entire fleets within minutes.",,,,
SGB_Forgnace_Battle,SHIP,"The Forge-Class, an exceptionally adept maneuvering battleship, was designed from the outset to form high-speed strike teams that could rapidly breach enemy defenses and achieve tactical objectives before the enemy could respond. Notably, its built-in Stibene-reaction shaped charge serves as a specialized missile for targeting large enemy vessels, capable of forcibly breaking through defensive lines led by enemy flagships in many situations. The most criticized aspect of the Forge-Class is that its extensive internal structures, exposed for dispersion purposes, make the seemingly thick armor difficult to utilize effectively.

The design of the Forge-Class dates back to before the collapse of the Stargate, when Shackles Garrison was still serving under the military system of Humanity's domain. Under urgent combat requirements, it developed a firepower ship exclusive to the 27th Army Group. At that time, the Forge-Class carried a large number of interstellar missiles that are now impossible to replicate. Due to the loss of manufacturing techniques, all current Forge-Class ships have adopted a new form of cruise missile - with equal power but limited quantity.",,,,
SGB_Forgnace_Battle_2,SHIP,"This Forge class is a rare original variant, only underwent necessary adjustment to fit modern weapons. Compared to most existing Forge Class, this ship have a more durable armor, which is strong yet thin. These armor are hard to maintain in large numbers and can only be found on relatively few ships.

The Forge-Class, an exceptionally adept maneuvering battleship, was designed from the outset to form high-speed strike teams that could rapidly breach enemy defenses and achieve tactical objectives before the enemy could respond. Notably, its built-in Stibene-reaction shaped charge serves as a specialized missile for targeting large enemy vessels, capable of forcibly breaking through defensive lines led by enemy flagships in many situations. The most criticized aspect of the Forge-Class is that its extensive internal structures, exposed for dispersion purposes, make the seemingly thick armor difficult to utilize effectively.

The design of the Forge-Class dates back to before the collapse of the Stargate, when Shackles Garrison was still serving under the military system of Humanity's domain. Under urgent combat requirements, it developed a firepower ship exclusive to the 27th Army Group. At that time, the Forge-Class carried a large number of interstellar missiles that are now impossible to replicate. Due to the loss of manufacturing techniques, all current Forge-Class ships have adopted a new form of cruise missile - with equal power but limited quantity.",,,,
SGB_Forgnace,SHIP,"Forge Fortress-Class is an experimental derivative design of the Forge-Class, essentially a fusion between a capital ship and an aerial fortress, equipped with as diverse an armament as possible without significantly compromising reliability. The Forge Fortress-Class is reportedly removed from the Shackles Garrison's organization, yet there are still a few reports claiming that in extremely rare instances - a Shackles Garrison fleet led by an intact Forge Fortress-Class still undertakes certain secret missions in outer star systems.

The design of the Forge Fortress-Class was spearheaded by an unverifiable research group following the resounding success of the Forge-Class and the Malleability-Class designs. Judging solely by the outcome, if logistical issues causing serious problems are disregarded, they must have achieved success.",,,,
#炼金术,,,,,,
SGB_Hydrargyri,SHIP,"The Hydrargyri-Class mounts the Taiyi system - a black box device designed in the era of the Dominion of Man, a prize that drives all researchers in the Persean sector mad. 

Due to the loss of many important maintenance devices during XXVII Battle Group's exile, the only remaining ship capable of carrying this facility is the Hydrargyri-Class. Furthermore, the entire ship's flux dispersion network has been integrated into the Taiyi system, meaning that during the activation and cooling period of this system, the ship will be extremely vulnerable.

The name of the Taiyi System is said to derive from extremely ancient alchemical technology, and the entire research on the Gold Element by Shackles Garrison is built upon this foundation.",,,,
XXVII_flak_Felix,SHIP_SYSTEM,Firing a large number of electromagnetic proximity explosives in front of the ship to suppress enemy strike craft.,,,,
XXVII_Quench,SHIP_SYSTEM,Deploy two Quench-Class hunters simultaneously and execute a long-range missile salvo the moment the squadron leaves the launch bay. This process will consume approximately 4% of the mothership's combat readiness. This can be used up to five times in a battle.,,,,
SGB_SpatiootemporalDrive_Light,SHIP_SYSTEM,"The further simplification of an experimental mobility system, can create an extreme twist in space time around the ship for a short time.",,,,
SGB_SpatiootemporalDrive,SHIP_SYSTEM,"The further simplification of an experimental mobility system, can create an extreme twist in space time around the ship for a short time.",,,,
SGB_SpatiootemporalDrive_Austenite,SHIP_SYSTEM,"The further optimized experimental mobility system that also come equipped with a charge storage; can create an extreme twist in space time around the ship for a short time.
",,,,
SGB_drone_pd_x3,SHIP_SYSTEM,Release three drones equipped with Vulcan cannons to gain extra point defense capabilities.,,,,
SGB_drone_pd_x4,SHIP_SYSTEM,"Deploy four drones equipped with small IR pulse cannon, thereby gaining additional close-range strike capabilities.",,,,
